source_module	target_module	edge_kind	weight
JobsByPods/JobsSwiftTimerMgr@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	4
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsGetWindow@Pods	calls	4
JobsByPods/ManualBySwiftPods@Pods	JobsByPods/JobsNetworking@Pods	calls	4
JobsSwiftBaseConfigDemo	JobsByPods/JobsLuckyEnvelopeRain@Pods	calls	4
JobsSwiftBaseConfigDemo	JobsByPods/JobsScale@Pods	calls	4
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsInheritance@Pods	calls	3
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsSwiftStandardLibrary@Pods	calls	3
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsTextTools@Pods	calls	3
JobsByPods/JobsLuckyEnvelopeRain@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	3
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsNetworking@Pods	calls	3
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsSwiftTimer@Pods	calls	3
JobsByPods/JobsSwiftBaseDefines@Pods	JobsByPods/JobsByUIKit@Pods	calls	3
JobsByPods/JobsSwiftBaseDefines@Pods	JobsSwiftBaseConfigDemo	calls	3
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsByUIKit@Pods	calls	3
JobsByPods/JobsSwiftFoundation@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	3
JobsByPods/JobsSwiftStandardLibrary@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	3
JobsByPods/JobsSwiftTaskCenter@Pods	JobsByPods/JobsSwiftWorker@Pods	calls	3
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsByUIKit@Pods	calls	3
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	3
JobsByPods/JobsToast@Pods	JobsByPods/JobsByUIKit@Pods	calls	3
JobsByPods/JobsToast@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	3
JobsBySwiftPackageManager	JobsByPods/JobsSwiftBaseTools@Pods	calls	3
JobsBySwiftPackageManager	JobsByPods/ManualBySwiftPods@Pods	calls	3
JobsSwiftBaseConfigDemo	JobsByPods/JobsEmptyView@Pods	calls	3
my_flutter	JobsByPods/JobsSwiftFoundation@Pods	calls	3
JobsByPods/BRPickerViewSwift@Pods	JobsByPods/JobsNetworking@Pods	calls	2
JobsByPods/BRPickerViewSwift@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	2
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsProgressBar@Pods	calls	2
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	2
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	2
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsSwiftStandardLibrary@Pods	calls	2
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	2
JobsByPods/JobsBy3rdTools@Pods	JobsSwiftBaseConfigDemo	calls	2
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	2
JobsByPods/JobsByUIKit@Pods	JobsByPods/Jobsl10n@Pods	calls	2
JobsByPods/JobsCountdownButton@Pods	JobsByPods/JobsImageTools@Pods	calls	2
JobsByPods/JobsCountdownButton@Pods	JobsByPods/JobsInheritance@Pods	calls	2
JobsByPods/JobsCryptoKit@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	2
JobsByPods/JobsGestureUnlock@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	2
JobsByPods/JobsGestureUnlock@Pods	JobsSwiftBaseConfigDemo	calls	2
JobsByPods/JobsGetWindow@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	2
JobsByPods/JobsImageTools@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	2
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsSwiftBaseTools@Pods	calls	2
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	2
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsSwiftStandardLibrary@Pods	calls	2
JobsByPods/JobsLocalNotification@Pods	JobsByPods/JobsNetworking@Pods	calls	2
JobsByPods/JobsLuckyEnvelopeRain@Pods	JobsByPods/JobsByUIKit@Pods	calls	2
